"country","countrycode","year","aid","oil","gdp.capita","institutions","polity2","population","mortality"
"Ghana","GHA",2009,5.481089469,"0.0221781558781626",341.1848683,0.101790862807926,8,"23903831",51.3
"Ghana","GHA",2010,7.855114969,"0.219346833729918",359.93199,0.105373624091347,8,"24512104",50
"Guinea-Bissau","GNB",1996,0.380890237,"..",211.5166878,-1.37164954344432,5,"1159060",113.4
"Guinea-Bissau","GNB",1998,2.134645515,"..",155.7675496,-1.46776447693507,0,"1199915",110
"Guinea-Bissau","GNB",2000,0.325947072,"..",173.6626946,-0.980032578110695,5,"1243229",106.6
"Guinea-Bissau","GNB",2002,1.748917602,"..",155.5288275,-0.968321412801743,5,"1293523",103.3
"Guinea-Bissau","GNB",2003,0.842870084,"..",151.579804,-1.03677446146806,-1,"1321202",101.8
"Guinea-Bissau","GNB",2004,0.330302892,"..",151.9337031,-1.02507417897383,-1,"1350345",100.4
"Guinea-Bissau","GNB",2005,1.517403295,"..",154.1061313,-0.95835217833519,6,"1380838",98.8
"Guinea-Bissau","GNB",2006,3.063790882,"..",154.2631682,-0.895708963274956,6,"1412669",97.3
"Guinea-Bissau","GNB",2007,2.717195529,"..",155.9948009,-0.944293409585953,6,"1445958",96
"Guinea-Bissau","GNB",2008,0.607289766,"..",157.7455097,-1.01675702134768,6,"1480841",94.5
"Guinea-Bissau","GNB",2009,2.090935404,"..",159.1472285,-1.04344555735588,6,"1517448",93.1
"Guinea-Bissau","GNB",2010,1.059232963,"..",161.2932891,-1.0323984225591,6,"1555880",92
"Greece","GRC",1996,0.766507827,"0.0233819989312213",10037.32849,0.693244869510333,10,"10608800",8.4
"Greece","GRC",1998,NA,"0.00237079697904693",10627.60307,0.803028682867686,10,"10720509",7.5
"Greece","GRC",2000,0.870773174,"0.0229485039082304",11396.23262,0.810872584581375,10,"10805808",6.6
"Greece","GRC",2002,0.036330977,"0.00994401148413807",12204.5999,0.784653082489967,10,"10902022",5.7
"Greece","GRC",2003,0.69053245,"0.00663490576529441",12887.77317,0.75694052875042,10,"10928070",5.3
"Greece","GRC",2004,0.923442449,"0.00749860532629968",13404.22954,0.77983436981837,10,"10955141",4.9
"Greece","GRC",2005,0.273941332,"0.00837090101000204",13657.70934,0.731858109434446,10,"10987314",4.6
"Greece","GRC",2006,2.060938706,"0.00842108981916839",14357.21926,0.71912261346976,10,"11020362",4.3
"Greece","GRC",2007,0.642413302,"0.00680616633017334",14728.85809,0.671383892496427,10,"11048473",4
"Greece","GRC",2008,1.554443532,"0.00672136781408996",14647.73865,0.594712752848864,10,"11077841",3.7
"Greece","GRC",2009,0.751813343,"0.00515219260492323",14114.23954,0.458647352953752,10,"11107017",3.5
"Greece","GRC",2010,0.143748104,"0.0118600042980919",13578.47025,0.408778492361307,10,"11121341",3.2
"Guyana","GUY",1996,8.363977242,"..",921.988811,-0.250711550315221,6,"761861",43
"Guyana","GUY",1998,6.132141832,"..",960.7321921,-0.0381538746878505,6,"757952",39.9
"Guyana","GUY",2000,9.415324815,"..",972.1278856,-0.221372075378895,6,"753301",37.3
"Guyana","GUY",2002,6.034928575,"..",997.7651037,-0.247508123517036,6,"751884",34.6
"Guyana","GUY",2003,3.517855204,"..",983.8503328,-0.242628678679466,6,"751857",33.1
"Guyana","GUY",2004,3.817188386,"..",1012.40708,-0.351175012687842,6,"751652",32
"Guyana","GUY",2005,9.310438944,"..",989.2804709,-0.477720220883687,6,"750946",30.8
"Guyana","GUY",2006,7.021157129,"..",1037.127543,-0.442662246525288,6,"749601",29.7
"Guyana","GUY",2007,8.756934383,"..",1107.351968,-0.361039371540149,6,"747869",28.4
"Guyana","GUY",2008,8.738177035,"..",1126.971645,-0.396358858793974,6,"746314",27.3
"Guyana","GUY",2009,10.26770263,"..",1162.152681,-0.420920898516973,6,"745693",26.2
"Guyana","GUY",2010,11.93119234,"..",1210.569558,-0.364168835803866,6,"746556",25.3
"Hungary","HUN",1996,7.160650798,"0.224103101921053",3896.872814,0.834000527858734,10,"10311238",11.4
"Hungary","HUN",1998,6.97161433,"0.030259497394368",4200.633731,0.908673524856567,10,"10266570",10.3
"Hungary","HUN",2000,5.972715411,"0.280707735673487",4542.72072,0.886054366827011,10,"10210971",9.3
"Hungary","HUN",2002,4.538145813,"0.1440830627703",4949.033726,1.01148887475332,10,"10158608",8.3
"Hungary","HUN",2003,2.606283802,"0.14886025287306",5154.335096,0.96349302927653,10,"10129552",7.9
"Hungary","HUN",2004,4.20089499,"0.158748407337589",5413.572662,0.95080029964447,10,"10107146",7.4
"Hungary","HUN",2005,6.912647509,"0.196230306369697",5639.394595,0.914907703797022,10,"10087065",7
"Hungary","HUN",2006,17.34801713,"0.21401612287026",5868.3017,0.938126981258392,10,"10071370",6.7
"Hungary","HUN",2007,52.05155004,"0.176565770327093",5884.140962,0.863062153259913,10,"10055780",6.3
"Hungary","HUN",2008,47.03311727,"0.208204968651365",5947.158309,0.829171607891719,10,"10038188",6
"Hungary","HUN",2009,3.671674422,"0.129349905326733",5551.426337,0.752893209457397,10,"10022650",5.7
"Hungary","HUN",2010,-29.22883782,"0.173980267284975",5633.99099,0.746610765655836,10,"10000023",5.4
"India","IND",1996,0.606837566,"1.00096831610427",387.7415214,-0.182263898352782,9,"978893217",69.8
"India","IND",1998,0.61450887,"0.512106699753118",413.2870519,-0.203975991656383,9,"1015974042",66.2
"India","IND",2000,0.755062255,"1.24813795159303",450.4151061,-0.164229977875948,9,"1053050912",62.7
