"district","CDU","SPD","AfD","Die.Linke","Grune","FDP","unemploymentrate","migrantfraction","catholicfraction"
"Berlin-Treptow-Köpenick",19.0032576645249,13.7607354853663,14.9472721888158,39.8748438767495,4.98757452068553,3.74373897480139,11.3,24.1,3.9
"Berlin-Marzahn-Hellersdorf",22.2860861871019,12.564625701102,20.5829658717797,34.1976906595295,3.24097433984892,3.55030018501049,12.79,24.1,3.2
"Berlin-Lichtenberg",19.6621128518521,14.0556688514974,15.6939509061023,34.7449477209328,6.00748889965011,3.4225226269805,13.63,24.1,3.8
"Aachen I",33.7342739649344,32.5120748677685,5.60934124688709,8.81375637832911,9.39722547169134,7.34324202125751,9.08,24.6,49.7
"Aachen II",36.4569578985499,36.8852171677631,8.8281003517218,5.13210016476005,4.54667617055586,6.44784351301137,7.21,24.6,60.7
"Heinsberg",45.6053256710431,27.9505270195303,8.28722208787926,4.56892505085276,4.95298786645994,6.63859689051365,6.09,20.6,61.5
"Düren",41.8533720425802,31.7295691927787,8.94517302365936,4.41218673874595,5.49604565021524,5.86445089598558,6.94,19.1,60.7
"Rhein-Erft-Kreis I",39.1923651785384,31.0536962021305,9.03809488600054,4.53726834369372,5.46891091828058,9.32065088226129,7.32,22,51.3
"Euskirchen – Rhein-Erft-Kreis II",42.8388216212138,26.1826627222123,9.51087688668316,5.8385468026749,5.75987326015616,9.8692187070596,6.08,18.5,58.2
"Köln I",31.6094532403253,30.9697820486845,8.64858606616689,8.60951112912096,9.79406060956902,7.70789313728328,10.22,32.3,37.2
"Köln II",34.8924318582632,26.8760260013519,4.60309312407565,7.98133757540951,14.5945039362875,9.0547319309409,5.51,32.3,39.5
"Köln III",27.5708268498149,32.2932875462789,7.54480334817836,9.6789987658958,13.1599774641842,7.10817191608091,10.43,32.3,38.3
"Bonn",32.0384931346086,34.8589758635528,6.08133407100664,5.69629095623697,8.41394649633119,10.4637841523184,7.4,31,39
"Rhein-Sieg-Kreis I",44.2989111773241,27.6846734085799,12.0879869712815,8.13238665943,6.51410595806427,10.3942136219138,5.62,22.1,43.9
"Rhein-Sieg-Kreis II",46.5251188562042,22.6989323184768,8.43965806429224,5.51943920693125,7.8907795347546,8.38124211963123,4.89,22.1,48.7
"Oberbergischer Kreis",43.7189179401284,26.7126255408036,10.1195749881977,5.17296014382627,6.13589771779268,7.83930777140418,5.29,26.9,30.6
"Rheinisch-Bergischer Kreis",40.0433251471202,24.4561188082109,7.24132338631203,4.88160882257541,6.8804735647097,15.677563597609,6.13,19.1,39.8
"Leverkusen – Köln IV",30.7948874962542,38.6721040219926,8.72864904303415,6.13917371307962,5.67925683686631,6.60299923130041,9.79,32.2,38.8
"Wuppertal I",29.597221565302,31.5249633438516,11.0427914079339,8.86504456171409,7.42447482043555,8.72179841483273,10.01,31.8,22.5
"Solingen – Remscheid – Wuppertal II",38.2484035088804,30.8251061751597,9.46025308943441,6.24625218686828,5.81289680454498,7.75712316318519,8.1,29.7,24.3
"Mettmann I",44.6307158625039,25.7458215074109,8.89687795648061,5.45380006307159,6.94607379375591,8.32671081677704,5.94,24.4,34.8
"Mettmann II",39.2700729927007,30.2197846513691,8.98737750534339,5.50469814896963,6.1031576400371,8.70669839093439,7,24.4,31.2
"Düsseldorf I",40.4190516200179,24.4493456329827,6.36687730107885,7.35820103041654,8.40670529270015,12.8037715812751,7.01,32.9,31.8
"Düsseldorf II",33.8085568435006,27.3056096116423,8.12956538906281,13.0432636714894,8.30442507826381,9.20058098541896,9.72,32.9,34
