"pair","date","year","village","district","vilno","disno","treat","poverty","pop2000","lpop2000","pret","pret.1","diff","groznyy","elevation","lelev","tariq","nn","lnn","reb","garrison","vildays","deaths","deathsd","wounded","woundedd","fail","swept","prop","propd","lprop","history","historyd","lhistory","change","decrease","increase","abandon","iso"
44,"4/7/2001",2001,"Gikalo","Groznenskiy",47,3,0,2,4017,8.29829025268555,1,1,1,0,185,5.22035598754883,0,3.43300008773804,1.23343503475189,0,0,54,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,6
44,"4/7/2001",2001,"Grozny (Zavodskiy)","Groznyy",144,2,1,1,11783,9.37441253662109,22,22,-2,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,3,2,1,2,1,1,0,7,1,2.07944202423096,1,1,0.6931471824646,-1,1,0,0,4
45,"4/17/2001",2001,"Grozny (Leninskiy)","Groznyy",74,2,1,1,18308,9.81509304046631,23,23,-3,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,5,0,0,0,0,1,0,2,1,1.09861195087433,2,1,1.09861195087433,-1,1,0,0,4
45,"4/17/2001",2001,"Oktyabr'skiy (Groznyy)","Groznyy",97,2,0,1,16520,9.712327003479,16,16,-4,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,6,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,4
46,"4/18/2001",2001,"Borzoi","Shatoiskiy",20,11,0,3,4313,8.36938858032227,0,0,1,0,919,6.82328605651855,0,0.925999999046326,-0.0768809989094734,0,0,12,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,3,5
46,"4/18/2001",2001,"Starye Atagi","Groznenskiy",122,3,1,2,11205,9.32411575317383,1,1,-1,0,273,5.60947179794312,0,3.66899991035461,1.29991900920868,0,1,90,1,1,0,0,0,0,34,1,3.55534791946411,2,1,1.09861195087433,-1,1,0,0,2
47,"5/14/2001",2001,"Grozny (Leninskiy)","Groznyy",74,2,1,1,18308,9.81509304046631,19,19,-4,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,14,3,1,2,1,1,1,0,0,0,3,1,1.38629400730133,-1,1,0,0,4
47,"5/14/2001",2001,"Pervomayskaya","Groznenskiy",101,3,0,2,4106,8.32020473480225,0,0,1,0,167,5.11799383163452,0,2.20300006866455,0.789820075035095,0,0,29,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,3
48,"5/17/2001",2001,"Guni","Vedenskiy",55,15,0,3,710,6.56526517868042,0,0,0,0,678,6.51914691925049,0,3.14840006828308,1.1468939781189,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,6
48,"5/17/2001",2001,"Starye Atagi","Groznenskiy",122,3,1,2,11205,9.32411575317383,0,0,0,0,273,5.60947179794312,0,3.66899991035461,1.29991900920868,0,1,90,0,0,0,0,0,1,10,1,2.39789509773254,3,1,1.38629400730133,0,0,0,0,2
49,"5/18/2001",2001,"Argun","Shalinskiy",9,10,1,1,23102,10.0476703643799,6,6,-6,0,117,4.76217412948608,0,1.69900000095367,0.53003978729248,1,1,90,3,1,0,0,0,1,5,1,1.79175901412964,1,1,0.6931471824646,-1,1,0,0,2
